start_pacific,end_pacific,duration_sec,video_id,url
2026-09-07 09:31:40 AM,09:31:59 AM,19,v2867895625,https://www.twitch.tv/videos/2867895625
2026-09-07 09:32:10 AM,09:32:29 AM,19,v2867896057,https://www.twitch.tv/videos/2867896057
2026-09-07 09:32:39 AM,09:33:04 AM,25,v2867896449,https://www.twitch.tv/videos/2867896449
2026-09-07 09:33:15 AM,09:33:40 AM,25,v2867896912,https://www.twitch.tv/videos/2867896912
2026-09-07 09:33:51 AM,09:34:22 AM,31,v2867897408,https://www.twitch.tv/videos/2867897408
2026-09-07 09:34:32 AM,09:35:03 AM,31,v2867897969,https://www.twitch.tv/videos/2867897969
2026-09-07 09:35:14 AM,09:35:47 AM,33,v2867898557,https://www.twitch.tv/videos/2867898557
2026-09-07 09:35:58 AM,09:36:30 AM,32,v2867899145,https://www.twitch.tv/videos/2867899145
2026-09-07 09:36:41 AM,09:37:15 AM,34,v2867899703,https://www.twitch.tv/videos/2867899703
2026-09-07 09:37:25 AM,09:37:59 AM,34,v2867900326,https://www.twitch.tv/videos/2867900326
2026-09-07 09:38:10 AM,09:38:44 AM,34,v2867900915,https://www.twitch.tv/videos/2867900915
2026-09-07 09:38:54 AM,09:39:31 AM,37,v2867901500,https://www.twitch.tv/videos/2867901500
2026-09-07 09:39:42 AM,09:40:20 AM,38,v2867902158,https://www.twitch.tv/videos/2867902158
2026-09-07 09:40:31 AM,09:41:09 AM,38,v2867902786,https://www.twitch.tv/videos/2867902786
2026-09-07 09:41:20 AM,09:41:48 AM,28,v2867903462,https://www.twitch.tv/videos/2867903462
2026-09-07 09:41:59 AM,09:42:27 AM,28,v2867903975,https://www.twitch.tv/videos/2867903975
2026-09-07 09:42:38 AM,09:43:06 AM,28,v2867904463,https://www.twitch.tv/videos/2867904463
2026-09-07 09:43:17 AM,09:43:49 AM,32,v2867904972,https://www.twitch.tv/videos/2867904972
2026-09-07 09:43:59 AM,09:44:35 AM,36,v2867905553,https://www.twitch.tv/videos/2867905553
2026-09-07 09:44:46 AM,09:45:22 AM,36,v2867906153,https://www.twitch.tv/videos/2867906153
2026-09-07 09:45:33 AM,09:46:09 AM,36,v2867906787,https://www.twitch.tv/videos/2867906787
2026-09-07 09:46:19 AM,09:46:48 AM,29,v2867907439,https://www.twitch.tv/videos/2867907439
2026-09-07 09:46:59 AM,09:47:28 AM,29,v2867907967,https://www.twitch.tv/videos/2867907967
2026-09-07 09:47:38 AM,09:48:07 AM,29,v2867908509,https://www.twitch.tv/videos/2867908509
2026-09-07 09:48:17 AM,09:48:49 AM,32,v2867909056,https://www.twitch.tv/videos/2867909056
2026-09-07 09:49:00 AM,09:49:32 AM,32,v2867909587,https://www.twitch.tv/videos/2867909587
2026-09-07 09:49:43 AM,09:50:15 AM,32,v2867910187,https://www.twitch.tv/videos/2867910187
2026-09-07 09:50:26 AM,09:51:05 AM,39,v2867910850,https://www.twitch.tv/videos/2867910850
2026-09-07 09:51:16 AM,09:51:53 AM,37,v2867911570,https://www.twitch.tv/videos/2867911570
2026-09-07 09:52:04 AM,09:52:43 AM,39,v2867912240,https://www.twitch.tv/videos/2867912240
2026-09-07 09:52:53 AM,09:53:28 AM,35,v2867912908,https://www.twitch.tv/videos/2867912908
2026-09-07 09:53:38 AM,09:54:09 AM,31,v2867913585,https://www.twitch.tv/videos/2867913585
2026-09-07 09:54:20 AM,09:54:50 AM,30,v2867914198,https://www.twitch.tv/videos/2867914198
2026-09-07 09:55:00 AM,09:55:30 AM,30,v2867914851,https://www.twitch.tv/videos/2867914851
2026-09-07 09:55:41 AM,09:56:13 AM,32,v2867915523,https://www.twitch.tv/videos/2867915523
2026-09-07 09:56:23 AM,09:56:56 AM,33,v2867916224,https://www.twitch.tv/videos/2867916224
2026-09-07 09:57:07 AM,09:57:37 AM,30,v2867916915,https://www.twitch.tv/videos/2867916915
2026-09-07 09:57:47 AM,09:58:10 AM,23,v2867917564,https://www.twitch.tv/videos/2867917564
2026-09-07 09:58:21 AM,09:58:46 AM,25,v2867918084,https://www.twitch.tv/videos/2867918084
2026-09-07 09:58:56 AM,09:59:18 AM,22,v2867918659,https://www.twitch.tv/videos/2867918659
2026-09-07 09:59:29 AM,09:59:51 AM,22,v2867919267,https://www.twitch.tv/videos/2867919267
2026-09-07 10:00:01 AM,10:00:23 AM,22,v2867919971,https://www.twitch.tv/videos/2867919971
2026-09-07 10:00:33 AM,10:00:55 AM,22,v2867920911,https://www.twitch.tv/videos/2867920911
2026-09-07 10:01:05 AM,10:01:28 AM,23,v2867921688,https://www.twitch.tv/videos/2867921688
2026-09-07 10:01:38 AM,10:02:01 AM,23,v2867922391,https://www.twitch.tv/videos/2867922391
2026-09-07 10:02:11 AM,10:02:33 AM,22,v2867923045,https://www.twitch.tv/videos/2867923045
2026-09-07 10:02:44 AM,10:03:06 AM,22,v2867923705,https://www.twitch.tv/videos/2867923705
2026-09-07 10:03:16 AM,10:03:38 AM,22,v2867924275,https://www.twitch.tv/videos/2867924275
2026-09-07 10:03:48 AM,10:04:09 AM,21,v2867924827,https://www.twitch.tv/videos/2867924827
2026-09-07 10:04:19 AM,10:04:40 AM,21,v2867925385,https://www.twitch.tv/videos/2867925385
2026-09-07 10:04:51 AM,10:05:14 AM,23,v2867925913,https://www.twitch.tv/videos/2867925913
2026-09-07 10:05:24 AM,10:05:47 AM,23,v2867926473,https://www.twitch.tv/videos/2867926473
2026-09-07 10:05:58 AM,10:06:20 AM,22,v2867926958,https://www.twitch.tv/videos/2867926958
2026-09-07 10:06:30 AM,10:06:52 AM,22,v2867927485,https://www.twitch.tv/videos/2867927485
2026-09-07 10:07:03 AM,10:07:28 AM,25,v2867928015,https://www.twitch.tv/videos/2867928015
